tech,year,build_MW
coal,0,0.0
gas,0,0.0
solar,0,2953.0990871791932
wind,0,2064.710154746821
biomass,0,0.0
coal,1,0.0
gas,1,0.0
solar,1,145.06688295871254
wind,1,28.298909631485003
biomass,1,0.0
coal,2,0.0
gas,2,0.0
solar,2,78.95628408370067
wind,2,0.0
biomass,2,0.0
coal,3,0.0
gas,3,0.0
solar,3,125.11448828969333
wind,3,0.0
biomass,3,0.0
coal,4,0.0
gas,4,0.0
solar,4,133.94214658640703
wind,4,0.0
biomass,4,0.0
coal,5,0.0
gas,5,0.0
solar,5,136.5680679389152
wind,5,0.0
biomass,5,0.0
coal,6,0.0
gas,6,0.0
solar,6,141.83991693743246
wind,6,0.0
biomass,6,0.0
coal,7,0.0
gas,7,0.0
solar,7,150.2677311993575
wind,7,0.0
biomass,7,0.0
coal,8,0.0
gas,8,0.0
solar,8,147.3221791387332
wind,8,0.0
biomass,8,0.0
coal,9,0.0
gas,9,0.0
solar,9,162.88672931242763
wind,9,0.0
biomass,9,0.0
coal,10,0.0
gas,10,137.8159179780323
solar,10,159.33776708427104
wind,10,0.0
biomass,10,0.0
coal,11,0.0
gas,11,124.59149330375203
solar,11,170.6200489244966
wind,11,0.0
biomass,11,0.0
coal,12,0.0
gas,12,151.53150874575022
solar,12,60.34275987438468
wind,12,0.0
biomass,12,0.0
coal,13,0.0
gas,13,155.79163931555922
solar,13,0.0
wind,13,0.0
biomass,13,0.0
coal,14,0.0
gas,14,160.17153845774192
solar,14,0.0
wind,14,0.0
biomass,14,0.0
coal,15,0.0
gas,15,164.67457332517915
solar,15,0.0
wind,15,0.0
biomass,15,0.0
coal,16,0.0
gas,16,169.30420573430365
solar,16,0.0
wind,16,0.0
biomass,16,0.0
coal,17,0.0
gas,17,174.06399482646157
solar,17,0.0
wind,17,0.0
biomass,17,0.0
coal,18,0.0
gas,18,130.19360906391285
solar,18,0.0
wind,18,0.0
biomass,18,0.0
coal,19,0.0
gas,19,0.0
solar,19,0.0
wind,19,0.0
biomass,19,0.0
coal,20,0.0
gas,20,0.0
solar,20,0.0
wind,20,0.0
biomass,20,0.0
coal,21,0.0
gas,21,0.0
solar,21,0.0
wind,21,0.0
biomass,21,0.0
coal,22,0.0
gas,22,0.0
solar,22,0.0
wind,22,0.0
biomass,22,0.0
coal,23,0.0
gas,23,0.0
solar,23,0.0
wind,23,0.0
biomass,23,0.0
coal,24,0.0
gas,24,0.0
solar,24,0.0
wind,24,0.0
biomass,24,0.0
coal,25,0.0
gas,25,0.0
solar,25,0.0
wind,25,0.0
biomass,25,0.0
