tech,year,gen_MWh
coal,0,162769.29145799993
gas,0,1.4641920574982375e7
solar,0,2.4281269024752057e6
wind,0,3.5863425951419994e6
biomass,0,1.7487376359423988e6
coal,1,497920.18125958904
gas,1,5.395888689286159e6
solar,1,8.999167482473547e6
wind,1,8.30811699522315e6
biomass,1,0.0
coal,2,573490.762858799
gas,2,5.526746685540196e6
solar,2,9.349568254680801e6
wind,2,8.402235412171332e6
biomass,2,0.0
coal,3,10820.94802919243
gas,3,6.3916042347503975e6
solar,3,9.644641098014368e6
wind,3,8.477962732142704e6
biomass,3,0.0
coal,4,15966.296597033019
gas,4,6.666499680066593e6
solar,4,9.992920003902359e6
wind,4,8.538358531090127e6
biomass,4,0.0
coal,5,0.0
gas,5,6.9736819728289945e6
solar,5,1.0346646140486961e7
wind,5,8.60337804632654e6
biomass,5,0.0
coal,6,0.0
gas,6,7.277785154386829e6
solar,6,1.0694919990837412e7
wind,6,8.679815595673282e6
biomass,6,0.0
coal,7,0.0
gas,7,7.5942928153896015e6
solar,7,1.1100789229927506e7
wind,7,8.70674304363718e6
biomass,7,0.0
coal,8,0.0
gas,8,7.922212730846294e6
solar,8,1.1489022819909872e7
wind,8,8.760959698808862e6
biomass,8,0.0
coal,9,0.0
gas,9,8.2693190537728155e6
solar,9,1.1856521445746694e7
wind,9,8.838382963812672e6
biomass,9,0.0
coal,10,0.0
gas,10,8.623474085248971e6
solar,10,1.2262003191353433e7
wind,10,8.89304134440546e6
biomass,10,0.0
coal,11,0.0
gas,11,8.99813887541667e6
solar,11,1.2718116148867486e7
wind,11,8.899244572411744e6
biomass,11,0.0
coal,12,0.0
gas,12,9.383430456238383e6
solar,12,1.3126859268309077e7
wind,12,8.965111183264723e6
biomass,12,0.0
coal,13,0.0
gas,13,9.871888508258449e6
solar,13,1.348448827395815e7
wind,13,9.003852208646879e6
biomass,13,0.0
coal,14,0.0
gas,14,1.0438858055068055e7
solar,14,1.3751315412807478e7
wind,14,9.079609994619861e6
biomass,14,0.0
coal,15,0.0
gas,15,1.1042867823779404e7
solar,15,1.402325605072687e7
wind,15,9.1389726145451e6
biomass,15,0.0
coal,16,0.0
gas,16,1.1686582901384635e7
solar,16,1.4280631805532308e7
wind,16,9.199490036988175e6
biomass,16,0.0
coal,17,0.0
gas,17,1.2373672737949384e7
solar,17,1.450260078243889e7
wind,17,9.279073966158515e6
biomass,17,0.0
coal,18,0.0
gas,18,1.3105019783742622e7
solar,18,1.4717700352971107e7
wind,18,9.349064623166233e6
biomass,18,0.0
coal,19,0.0
gas,19,1.3883346763093749e7
solar,19,1.4937109722916143e7
wind,19,9.39634148851244e6
biomass,19,0.0
coal,20,0.0
gas,20,1.4713372603931826e7
solar,20,1.5102191778339814e7
wind,20,9.475626127262847e6
biomass,20,0.0
coal,21,0.0
gas,21,1.5594499985542294e7
solar,21,1.5267153236825043e7
wind,21,9.53363935842457e6
biomass,21,0.0
coal,22,0.0
gas,22,1.6523655748592297e7
solar,22,1.5426490442027058e7
wind,22,9.577954098512128e6
biomass,22,0.0
coal,23,0.0
gas,23,1.750213307688479e7
solar,23,1.558971662753025e7
wind,23,9.598533510651765e6
biomass,23,0.0
coal,24,0.0
gas,24,1.8528557121658724e7
solar,24,1.5692149233694743e7
wind,24,9.661282309373032e6
biomass,24,0.0
coal,25,0.0
gas,25,1.9605424660670277e7
solar,25,1.5793169969485598e7
wind,25,9.704798525864461e6
biomass,25,0.0
