g,year,repurpose_arrive_MW
biomass,0,0.0
gas,0,0.0
biomass,1,0.0
gas,1,0.0
biomass,2,0.0
gas,2,0.0
biomass,3,0.0
gas,3,1515.020390906015
biomass,4,0.0
gas,4,0.0
biomass,5,0.0
gas,5,1072.8062663363812
biomass,6,0.0
gas,6,0.0
biomass,7,0.0
gas,7,538.4017233504283
biomass,8,0.0
gas,8,0.0
biomass,9,0.0
gas,9,0.0
biomass,10,0.0
gas,10,0.0
biomass,11,0.0
gas,11,0.0
biomass,12,0.0
gas,12,0.0
biomass,13,0.0
gas,13,0.0
biomass,14,0.0
gas,14,0.0
biomass,15,0.0
gas,15,0.0
biomass,16,0.0
gas,16,0.0
biomass,17,0.0
gas,17,0.0
biomass,18,0.0
gas,18,0.0
biomass,19,0.0
gas,19,0.0
biomass,20,0.0
gas,20,0.0
biomass,21,0.0
gas,21,0.0
biomass,22,0.0
gas,22,0.0
biomass,23,0.0
gas,23,0.0
biomass,24,0.0
gas,24,0.0
biomass,25,0.0
gas,25,0.0
