tech,year,retire_MW
coal,0,0.0
gas,0,0.0
solar,0,0.0
wind,0,0.0
biomass,0,0.0
coal,1,794.2451238150657
gas,1,0.0
solar,1,0.0
wind,1,0.0
biomass,1,1000.0
coal,2,0.0
gas,2,0.0
solar,2,0.0
wind,2,0.0
biomass,2,0.0
coal,3,79.52649559210977
gas,3,0.0
solar,3,0.0
wind,3,0.0
biomass,3,0.0
coal,4,0.0
gas,4,0.0
solar,4,0.0
wind,4,0.0
biomass,4,0.0
coal,5,0.0
gas,5,0.0
solar,5,0.0
wind,5,0.0
biomass,5,0.0
coal,6,0.0
gas,6,0.0
solar,6,0.0
wind,6,0.0
biomass,6,0.0
coal,7,0.0
gas,7,0.0
solar,7,0.0
wind,7,0.0
biomass,7,0.0
coal,8,0.0
gas,8,0.0
solar,8,0.0
wind,8,0.0
biomass,8,0.0
coal,9,0.0
gas,9,0.0
solar,9,0.0
wind,9,0.0
biomass,9,0.0
coal,10,0.0
gas,10,0.0
solar,10,0.0
wind,10,0.0
biomass,10,0.0
coal,11,0.0
gas,11,0.0
solar,11,0.0
wind,11,0.0
biomass,11,0.0
coal,12,0.0
gas,12,0.0
solar,12,0.0
wind,12,0.0
biomass,12,0.0
coal,13,0.0
gas,13,0.0
solar,13,0.0
wind,13,0.0
biomass,13,0.0
coal,14,0.0
gas,14,0.0
solar,14,0.0
wind,14,0.0
biomass,14,0.0
coal,15,0.0
gas,15,0.0
solar,15,0.0
wind,15,0.0
biomass,15,0.0
coal,16,0.0
gas,16,0.0
solar,16,0.0
wind,16,0.0
biomass,16,0.0
coal,17,0.0
gas,17,0.0
solar,17,0.0
wind,17,0.0
biomass,17,0.0
coal,18,0.0
gas,18,0.0
solar,18,0.0
wind,18,0.0
biomass,18,0.0
coal,19,0.0
gas,19,0.0
solar,19,0.0
wind,19,0.0
biomass,19,0.0
coal,20,0.0
gas,20,0.0
solar,20,0.0
wind,20,0.0
biomass,20,0.0
coal,21,0.0
gas,21,0.0
solar,21,0.0
wind,21,0.0
biomass,21,0.0
coal,22,0.0
gas,22,0.0
solar,22,0.0
wind,22,0.0
biomass,22,0.0
coal,23,0.0
gas,23,0.0
solar,23,0.0
wind,23,0.0
biomass,23,0.0
coal,24,0.0
gas,24,0.0
solar,24,0.0
wind,24,0.0
biomass,24,0.0
coal,25,0.0
gas,25,0.0
solar,25,0.0
wind,25,0.0
biomass,25,0.0
