Hour,Wind,Solar,Coal,Gas,Biomass
1,0.02964424,0.440206319,1,1,1
2,0.053404614,0.0,1,1,1
3,0.045622487,0.0,1,1,1
4,0.09080191,0.0,1,1,1
5,0.177523956,0.0,1,1,1
6,0.196106315,0.0,1,1,1
7,0.163480639,0.0,1,1,1
8,0.12931183,0.0,1,1,1
9,0.131447554,0.0,1,1,1
10,0.162791938,0.0,1,1,1
11,0.1695849,0.0,1,1,1
12,0.115781084,0.0,1,1,1
13,0.063578397,0.0,1,1,1
14,0.073658198,0.0,1,1,1
15,0.191722095,0.0,1,1,1
16,0.141564459,0.160354823,1,1,1
17,0.172937483,0.530314207,1,1,1
18,0.100785479,0.737064183,1,1,1
19,0.041374963,0.841204882,1,1,1
20,0.060162984,0.897431374,1,1,1
21,0.139278054,0.916456223,1,1,1
22,0.159188926,0.8962937,1,1,1
23,0.143300146,0.850939989,1,1,1
24,0.263135701,0.69840014,1,1,1
25,0.167211637,0.450361133,1,1,1
26,0.04041839,0.0,1,1,1
27,0.016701991,0.0,1,1,1
28,0.152068675,0.0,1,1,1
29,0.226495713,0.0,1,1,1
30,0.270795286,0.0,1,1,1
31,0.298206151,0.0,1,1,1
32,0.271383047,0.0,1,1,1
33,0.194461107,0.0,1,1,1
34,0.327295542,0.0,1,1,1
35,0.274773479,0.0,1,1,1
36,0.121430814,0.0,1,1,1
37,0.050794065,0.0,1,1,1
38,0.108404294,0.0,1,1,1
39,0.102256775,0.0,1,1,1
40,0.1861431,0.186126664,1,1,1
41,0.182236999,0.562906146,1,1,1
42,0.200160995,0.759664118,1,1,1
43,0.068109088,0.873494685,1,1,1
44,0.131628543,0.942172468,1,1,1
45,0.148289382,0.968051136,1,1,1
46,0.182094038,0.979680836,1,1,1
47,0.09641251,0.861716151,1,1,1
48,0.076374777,0.702745676,1,1,1
49,0.145699397,0.440961123,1,1,1
50,0.112703539,0.0,1,1,1
51,0.098809496,0.0,1,1,1
52,0.10197708,0.0,1,1,1
53,0.127782613,0.0,1,1,1
54,0.081562892,0.0,1,1,1
55,0.091821164,0.0,1,1,1
56,0.070636228,0.0,1,1,1
57,0.095637769,0.0,1,1,1
58,0.137076259,0.0,1,1,1
59,0.184423566,0.0,1,1,1
60,0.080073029,0.0,1,1,1
61,0.047690038,0.0,1,1,1
62,0.076110631,0.0,1,1,1
63,0.087148085,0.0,1,1,1
64,0.164304718,0.04008859,1,1,1
65,0.080086917,0.487779409,1,1,1
66,0.062099628,0.727990925,1,1,1
67,0.010734077,0.868342638,1,1,1
68,0.037544459,0.940630615,1,1,1
69,0.061564088,0.950101674,1,1,1
70,0.060488835,0.913589895,1,1,1
71,0.078819871,0.835149765,1,1,1
72,0.005955826,0.678074241,1,1,1
73,0.002738278,0.42736125,1,1,1
74,0.0461994,0.0,1,1,1
75,0.024750056,0.0,1,1,1
76,0.054906156,0.0,1,1,1
77,0.049037442,0.0,1,1,1
78,0.024351049,0.0,1,1,1
79,0.064948611,0.0,1,1,1
80,0.053970229,0.0,1,1,1
81,0.053275988,0.0,1,1,1
82,0.092077136,0.0,1,1,1
83,0.047139842,0.0,1,1,1
84,0.016571974,0.0,1,1,1
85,0.066961907,0.0,1,1,1
86,0.057806022,0.0,1,1,1
87,0.055641636,0.0,1,1,1
88,0.04586409,0.165990442,1,1,1
89,0.114142492,0.519325376,1,1,1
90,0.032166228,0.711929858,1,1,1
91,0.002779649,0.824429989,1,1,1
92,0.065182857,0.896600544,1,1,1
93,0.143345937,0.91922009,1,1,1
94,0.17611517,0.900813818,1,1,1
95,0.10956569,0.85403955,1,1,1
96,0.054073561,0.70342958,1,1,1
97,0.0149297,0.440522879,1,1,1
98,0.002735979,0.0,1,1,1
99,0.062734045,0.0,1,1,1
100,0.13772893,0.0,1,1,1
101,0.05954615,0.0,1,1,1
102,0.093026266,0.0,1,1,1
103,0.055161007,0.0,1,1,1
104,0.037616078,0.0,1,1,1
105,0.067094691,0.0,1,1,1
106,0.10384798,0.0,1,1,1
107,0.048771851,0.0,1,1,1
108,0.045104716,0.0,1,1,1
109,0.036215693,0.0,1,1,1
110,0.05376479,0.0,1,1,1
111,0.045602873,0.0,1,1,1
112,0.017500121,0.034759462,1,1,1
113,0.026190996,0.41465947,1,1,1
114,0.09229432,0.711946547,1,1,1
115,0.071930245,0.860931635,1,1,1
116,0.062785558,0.934975266,1,1,1
117,0.158061728,0.945106745,1,1,1
118,0.098249212,0.868524909,1,1,1
119,0.098963559,0.851546526,1,1,1
120,0.116812646,0.703288317,1,1,1
121,0.053210851,0.462805867,1,1,1
122,0.023755763,0.0,1,1,1
123,0.027485546,0.0,1,1,1
124,0.001161026,0.0,1,1,1
125,0.04792748,0.0,1,1,1
126,0.048956987,0.0,1,1,1
127,0.002188398,0.0,1,1,1
128,0.000270948,0.0,1,1,1
129,0.029537642,0.0,1,1,1
130,0.063481495,0.0,1,1,1
131,0.007642032,0.0,1,1,1
132,0.003403136,0.0,1,1,1
133,0.006797866,0.0,1,1,1
134,0.013346141,0.0,1,1,1
135,0.012511818,0.0,1,1,1
136,0.017436069,0.148173749,1,1,1
137,0.000441447,0.530425787,1,1,1
138,0.000698135,0.738919377,1,1,1
139,0.00055158,0.85643208,1,1,1
140,0.014472529,0.926600456,1,1,1
141,0.04901449,0.950909972,1,1,1
142,0.108549863,0.934200764,1,1,1
143,0.041347072,0.858383834,1,1,1
144,0.006088643,0.707929134,1,1,1
145,0.002876261,0.456605315,1,1,1
146,0.024384115,0.0,1,1,1
147,0.005884131,0.0,1,1,1
148,0.056076631,0.0,1,1,1
149,0.021256953,0.0,1,1,1
150,0.052983165,0.0,1,1,1
151,0.137137294,0.0,1,1,1
152,0.072708473,0.0,1,1,1
153,0.110660337,0.0,1,1,1
154,0.045562819,0.0,1,1,1
155,0.055233583,0.0,1,1,1
156,0.075999364,0.0,1,1,1
157,0.178390086,0.0,1,1,1
158,0.190763295,0.0,1,1,1
159,0.218535721,0.0,1,1,1
160,0.338525951,0.187004864,1,1,1
161,0.22333242,0.577470541,1,1,1
162,0.1986036,0.785940945,1,1,1
163,0.072941571,0.899900079,1,1,1
164,0.008608644,0.959555686,1,1,1
165,0.014312507,0.970051289,1,1,1
166,0.020739021,0.954603076,1,1,1
167,0.018230885,0.886851311,1,1,1
168,0.009354441,0.738964558,1,1,1
169,0.003649556,0.470156014,1,1,1
170,0.019021025,0.0,1,1,1
171,0.079770498,0.0,1,1,1
172,0.21317859,0.0,1,1,1
173,0.43237263,0.0,1,1,1
174,0.551614523,0.0,1,1,1
175,0.586361587,0.0,1,1,1
176,0.517317772,0.0,1,1,1
177,0.300995529,0.0,1,1,1
178,0.3476955,0.0,1,1,1
179,0.386032164,0.0,1,1,1
180,0.558720052,0.0,1,1,1
181,0.432715178,0.0,1,1,1
182,0.765088797,0.0,1,1,1
183,0.797166467,0.0,1,1,1
184,0.72893399,0.163321465,1,1,1
185,0.703037977,0.547854662,1,1,1
186,0.724134743,0.777720869,1,1,1
187,0.557326436,0.906835914,1,1,1
188,0.695989251,0.982771099,1,1,1
189,0.514451981,0.994138479,1,1,1
190,0.269079328,0.965553284,1,1,1
191,0.229755372,0.884726882,1,1,1
192,0.20297952,0.731412292,1,1,1
193,0.128688782,0.485841751,1,1,1
194,0.044946674,0.0,1,1,1
195,0.048007466,0.0,1,1,1
196,0.274317354,0.0,1,1,1
197,0.448221862,0.0,1,1,1
198,0.20832628,0.0,1,1,1
199,0.244044423,0.0,1,1,1
200,0.225790367,0.0,1,1,1
201,0.319947571,0.0,1,1,1
202,0.263311982,0.0,1,1,1
203,0.043152828,0.0,1,1,1
204,0.076307371,0.0,1,1,1
205,0.111815467,0.0,1,1,1
206,0.06045045,0.0,1,1,1
207,0.113929234,0.0,1,1,1
208,0.079105437,0.126408488,1,1,1
209,0.068230152,0.505842805,1,1,1
210,0.011363961,0.741354346,1,1,1
211,0.024019515,0.866417766,1,1,1
212,0.111193866,0.947263598,1,1,1
213,0.049938992,0.961231291,1,1,1
214,0.168248922,0.944675922,1,1,1
215,0.095301688,0.869119167,1,1,1
216,0.107061855,0.719850183,1,1,1
217,0.093540028,0.476101279,1,1,1
218,0.103322677,0.0,1,1,1
219,0.049529996,0.0,1,1,1
220,0.019585343,0.0,1,1,1
221,0.029779308,0.0,1,1,1
222,0.055146739,0.0,1,1,1
223,0.038317099,0.0,1,1,1
224,0.028310589,0.0,1,1,1
225,0.000349477,0.0,1,1,1
226,0.007941877,0.0,1,1,1
227,0.000398762,0.0,1,1,1
228,0.022473868,0.0,1,1,1
229,0.05394657,0.0,1,1,1
230,0.074141786,0.0,1,1,1
231,0.027908761,0.0,1,1,1
232,0.027086461,0.14467302,1,1,1
233,0.036102485,0.530884147,1,1,1
234,0.010690482,0.747087717,1,1,1
235,0.000290893,0.870509207,1,1,1
236,0.012779517,0.940683365,1,1,1
237,0.028483331,0.961389184,1,1,1
238,0.06494537,0.941704154,1,1,1
239,0.122834943,0.864489317,1,1,1
240,0.06087596,0.714494824,1,1,1
241,0.017921379,0.365068972,1,1,1
242,0.007206053,0.0,1,1,1
243,5.23e-05,0.0,1,1,1
244,0.048785925,0.0,1,1,1
245,0.198308334,0.0,1,1,1
246,0.249959514,0.0,1,1,1
247,0.2108275,0.0,1,1,1
248,0.268957108,0.0,1,1,1
249,0.24164553,0.0,1,1,1
250,0.210571498,0.0,1,1,1
251,0.124131352,0.0,1,1,1
252,0.129601568,0.0,1,1,1
253,0.106268413,0.0,1,1,1
254,0.059231762,0.0,1,1,1
255,0.020549905,0.0,1,1,1
256,0.019334923,0.0,1,1,1
257,0.013890346,0.278514802,1,1,1
258,0.027374951,0.483384371,1,1,1
259,0.009855735,0.599389493,1,1,1
